nohup: ignoring input
ffmpeg version 4.2.7-0ubuntu0.1 Copyright (c) 2000-2022 the FFmpeg developers
  built with gcc 9 (Ubuntu 9.4.0-1ubuntu1~20.04.1)
  configuration: --prefix=/usr --extra-version=0ubuntu0.1 --toolchain=hardened --libdir=/usr/lib/x86_64-linux-gnu --incdir=/usr/include/x86_64-linux-gnu --arch=amd64 --enable-gpl --disable-stripping --enable-avresample --disable-filter=resample --enable-avisynth --enable-gnutls --enable-ladspa --enable-libaom --enable-libass --enable-libbluray --enable-libbs2b --enable-libcaca --enable-libcdio --enable-libcodec2 --enable-libflite --enable-libfontconfig --enable-libfreetype --enable-libfribidi --enable-libgme --enable-libgsm --enable-libjack --enable-libmp3lame --enable-libmysofa --enable-libopenjpeg --enable-libopenmpt --enable-libopus --enable-libpulse --enable-librsvg --enable-librubberband --enable-libshine --enable-libsnappy --enable-libsoxr --enable-libspeex --enable-libssh --enable-libtheora --enable-libtwolame --enable-libvidstab --enable-libvorbis --enable-libvpx --enable-libwavpack --enable-libwebp --enable-libx265 --enable-libxml2 --enable-libxvid --enable-libzmq --enable-libzvbi --enable-lv2 --enable-omx --enable-openal --enable-opencl --enable-opengl --enable-sdl2 --enable-libdc1394 --enable-libdrm --enable-libiec61883 --enable-nvenc --enable-chromaprint --enable-frei0r --enable-libx264 --enable-shared
  libavutil      56. 31.100 / 56. 31.100
  libavcodec     58. 54.100 / 58. 54.100
  libavformat    58. 29.100 / 58. 29.100
  libavdevice    58.  8.100 / 58.  8.100
  libavfilter     7. 57.100 /  7. 57.100
  libavresample   4.  0.  0 /  4.  0.  0
  libswscale      5.  5.100 /  5.  5.100
  libswresample   3.  5.100 /  3.  5.100
  libpostproc    55.  5.100 / 55.  5.100
Input #0, flv, from 'https://bot0x1.waapitools.com/live?username=moazalian77':
  Metadata:
    min_bitrate     : 1000
    max_bitrate     : 2700
    rtc_push_ver    : 2
    start_time      : 1737490491007
    push_protocol   : rtc
    is_hardware_encode: 1
    Encoder         : bytedmediasdkios:6exFYgXfPY25VwWF/5fXLcM6u4ZOVmg1Tn0QHTmx7wbZJ4N8JShJrLYpLuHCL/3oinPO9YYaOBmvmi3mVF3EBOaqAumRyxFgxRRRTJelw2Tw9x7LOUFRlOuuDeR6XdsNK5ULJE6vEzq2Zzzu0Sy+Ng==
    sdk_version     : 6.26.0.127700
    default_bitrate : 1700
    platform        : ios
    interval        : 2
    new_scene_switch: false
    live_multi_push : false
    os_version      : 18.0.1
    model           : iPhone12,1
  Duration: N/A, start: 3224.980000, bitrate: 1806 kb/s
    Stream #0:0: Audio: aac (HE-AAC), 48000 Hz, stereo, fltp, 65 kb/s
    Stream #0:1: Video: h264 (High), yuv420p(tv, smpte170m, progressive), 720x1280, 1740 kb/s, 25 fps, 15 tbr, 1k tbn, 30 tbc
Stream mapping:
  Stream #0:1 -> #0:0 (copy)
  Stream #0:0 -> #0:1 (aac (native) -> aac (native))
Press [q] to stop, [?] for help
-async is forwarded to lavfi similarly to -af aresample=async=1:min_hard_comp=0.100000:first_pts=0.
Output #0, flv, to 'rtmp://a.rtmp.youtube.com/live2/ayas-rvqz-t19x-2akp-6ae9':
  Metadata:
    min_bitrate     : 1000
    max_bitrate     : 2700
    rtc_push_ver    : 2
    start_time      : 1737490491007
    push_protocol   : rtc
    is_hardware_encode: 1
    model           : iPhone12,1
    sdk_version     : 6.26.0.127700
    default_bitrate : 1700
    platform        : ios
    interval        : 2
    new_scene_switch: false
    live_multi_push : false
    os_version      : 18.0.1
    encoder         : Lavf58.29.100
    Stream #0:0: Video: h264 (High) ([7][0][0][0] / 0x0007), yuv420p(tv, smpte170m, progressive), 720x1280, q=2-31, 1740 kb/s, 25 fps, 15 tbr, 1k tbn, 1k tbc
    Stream #0:1: Audio: aac (LC) ([10][0][0][0] / 0x000A), 44100 Hz, stereo, fltp, 128 kb/s
    Metadata:
      encoder         : Lavc58.54.100 aac
frame=   10 fps=0.0 q=-1.0 size=     160kB time=00:00:00.46 bitrate=2819.4kbits/s speed=0.919x    
frame=   18 fps= 18 q=-1.0 size=     235kB time=00:00:00.98 bitrate=1966.1kbits/s speed=0.965x    
frame=   25 fps= 16 q=-1.0 size=     296kB time=00:00:01.48 bitrate=1633.5kbits/s speed=0.978x    
frame=   33 fps= 16 q=-1.0 size=     420kB time=00:00:01.98 bitrate=1739.0kbits/s speed=0.98x    
frame=   41 fps= 16 q=-1.0 size=     468kB time=00:00:02.51 bitrate=1524.5kbits/s speed=0.993x    
frame=   48 fps= 16 q=-1.0 size=     543kB time=00:00:03.01 bitrate=1473.6kbits/s speed=0.995x    
frame=   55 fps= 16 q=-1.0 size=     595kB time=00:00:03.48 bitrate=1399.3kbits/s speed=0.985x    
frame=   63 fps= 16 q=-1.0 size=     724kB time=00:00:03.99 bitrate=1484.6kbits/s speed=0.988x    
frame=   71 fps= 16 q=-1.0 size=     790kB time=00:00:04.51 bitrate=1434.4kbits/s speed=0.992x    
frame=   78 fps= 15 q=-1.0 size=     839kB time=00:00:05.01 bitrate=1370.0kbits/s speed=0.993x    
frame=   86 fps= 15 q=-1.0 size=     892kB time=00:00:05.51 bitrate=1324.8kbits/s speed=0.993x    
frame=   94 fps= 16 q=-1.0 size=    1019kB time=00:00:06.04 bitrate=1380.1kbits/s speed=0.997x    
frame=  101 fps= 15 q=-1.0 size=    1084kB time=00:00:06.54 bitrate=1355.8kbits/s speed=0.996x    
frame=  108 fps= 15 q=-1.0 size=    1149kB time=00:00:07.03 bitrate=1338.3kbits/s speed=0.993x    
frame=  116 fps= 15 q=-1.0 size=    1248kB time=00:00:07.54 bitrate=1354.4kbits/s speed=0.995x    
frame=  124 fps= 15 q=-1.0 size=    1372kB time=00:00:08.05 bitrate=1395.0kbits/s speed=0.996x    
frame=  132 fps= 15 q=-1.0 size=    1440kB time=00:00:08.58 bitrate=1375.2kbits/s speed=0.998x    
frame=  139 fps= 15 q=-1.0 size=    1500kB time=00:00:09.07 bitrate=1353.2kbits/s speed=0.997x    
frame=  147 fps= 15 q=-1.0 size=    1566kB time=00:00:09.58 bitrate=1338.8kbits/s speed=0.997x    
frame=  154 fps= 15 q=-1.0 size=    1686kB time=00:00:10.05 bitrate=1373.4kbits/s speed=0.994x    
frame=  162 fps= 15 q=-1.0 size=    1764kB time=00:00:10.58 bitrate=1365.6kbits/s speed=0.997x    
frame=  169 fps= 15 q=-1.0 size=    1834kB time=00:00:11.07 bitrate=1356.8kbits/s speed=0.996x    
frame=  177 fps= 15 q=-1.0 size=    1900kB time=00:00:11.58 bitrate=1344.4kbits/s speed=0.997x    
frame=  185 fps= 15 q=-1.0 size=    1997kB time=00:00:12.11 bitrate=1350.6kbits/s speed=0.997x    
frame=  192 fps= 15 q=-1.0 size=    2066kB time=00:00:12.60 bitrate=1342.3kbits/s speed=0.996x    
frame=  200 fps= 15 q=-1.0 size=    2127kB time=00:00:13.11 bitrate=1327.9kbits/s speed=0.997x    
frame=  208 fps= 15 q=-1.0 size=    2203kB time=00:00:13.64 bitrate=1322.3kbits/s speed=0.999x    
frame=  215 fps= 15 q=-1.0 size=    2315kB time=00:00:14.11 bitrate=1343.5kbits/s speed=0.997x    
frame=  222 fps= 15 q=-1.0 size=    2368kB time=00:00:14.62 bitrate=1325.9kbits/s speed=0.998x    
frame=  230 fps= 15 q=-1.0 size=    2429kB time=00:00:15.14 bitrate=1314.5kbits/s speed=0.998x    
frame=  238 fps= 15 q=-1.0 size=    2491kB time=00:00:15.64 bitrate=1303.9kbits/s speed=0.999x    
frame=  245 fps= 15 q=-1.0 size=    2601kB time=00:00:16.16 bitrate=1318.3kbits/s speed=0.999x    
frame=  252 fps= 15 q=-1.0 size=    2641kB time=00:00:16.62 bitrate=1301.2kbits/s speed=0.997x    
frame=  260 fps= 15 q=-1.0 size=    2693kB time=00:00:17.13 bitrate=1287.4kbits/s speed=0.997x    
frame=  268 fps= 15 q=-1.0 size=    2765kB time=00:00:17.64 bitrate=1283.6kbits/s speed=0.998x    
frame=  276 fps= 15 q=-1.0 size=    2882kB time=00:00:18.18 bitrate=1298.8kbits/s speed=0.999x    
frame=  283 fps= 15 q=-1.0 size=    2946kB time=00:00:18.66 bitrate=1292.6kbits/s speed=0.999x    
frame=  291 fps= 15 q=-1.0 size=    3009kB time=00:00:19.18 bitrate=1285.1kbits/s speed=0.999x    
frame=  298 fps= 15 q=-1.0 size=    3075kB time=00:00:19.64 bitrate=1282.3kbits/s speed=0.997x    
frame=  306 fps= 15 q=-1.0 size=    3206kB time=00:00:20.18 bitrate=1301.5kbits/s speed=0.998x    
frame=  313 fps= 15 q=-1.0 size=    3264kB time=00:00:20.68 bitrate=1292.4kbits/s speed=0.999x    
frame=  321 fps= 15 q=-1.0 size=    3344kB time=00:00:21.18 bitrate=1293.5kbits/s speed=0.998x    
frame=  329 fps= 15 q=-1.0 size=    3404kB time=00:00:21.71 bitrate=1284.4kbits/s speed=0.999x    
frame=  336 fps= 15 q=-1.0 size=    3568kB time=00:00:22.22 bitrate=1315.5kbits/s speed=   1x    
frame=  343 fps= 15 q=-1.0 size=    3608kB time=00:00:22.68 bitrate=1302.9kbits/s speed=0.998x    
frame=  351 fps= 15 q=-1.0 size=    3677kB time=00:00:23.19 bitrate=1298.5kbits/s speed=0.998x    
frame=  359 fps= 15 q=-1.0 size=    3763kB time=00:00:23.71 bitrate=1300.0kbits/s speed=0.999x    
frame=  366 fps= 15 q=-1.0 size=    3915kB time=00:00:24.21 bitrate=1324.3kbits/s speed=0.999x    
frame=  373 fps= 15 q=-1.0 size=    3955kB time=00:00:24.68 bitrate=1312.5kbits/s speed=0.997x    
frame=  381 fps= 15 q=-1.0 size=    4016kB time=00:00:25.19 bitrate=1306.0kbits/s speed=0.998x    
frame=  389 fps= 15 q=-1.0 size=    4091kB time=00:00:25.71 bitrate=1303.4kbits/s speed=0.998x    
frame=  396 fps= 15 q=-1.0 size=    4246kB time=00:00:26.21 bitrate=1326.9kbits/s speed=0.998x    
frame=  404 fps= 15 q=-1.0 size=    4288kB time=00:00:26.71 bitrate=1315.0kbits/s speed=0.998x    
frame=  412 fps= 15 q=-1.0 size=    4357kB time=00:00:27.24 bitrate=1309.8kbits/s speed=0.999x    
frame=  420 fps= 15 q=-1.0 size=    4439kB time=00:00:27.78 bitrate=1308.9kbits/s speed=   1x    
frame=  427 fps= 15 q=-1.0 size=    4606kB time=00:00:28.24 bitrate=1335.9kbits/s speed=0.998x    
frame=  434 fps= 15 q=-1.0 size=    4687kB time=00:00:28.74 bitrate=1335.6kbits/s speed=0.998x    
frame=  442 fps= 15 q=-1.0 size=    4749kB time=00:00:29.25 bitrate=1329.7kbits/s speed=0.999x    
frame=  450 fps= 15 q=-1.0 size=    4844kB time=00:00:29.78 bitrate=1332.5kbits/s speed=0.999x    
frame=  457 fps= 15 q=-1.0 size=    4998kB time=00:00:30.27 bitrate=1352.1kbits/s speed=0.999x    
frame=  465 fps= 15 q=-1.0 size=    5074kB time=00:00:30.78 bitrate=1350.4kbits/s speed=0.999x    
frame=  473 fps= 15 q=-1.0 size=    5133kB time=00:00:31.31 bitrate=1342.8kbits/s speed=   1x    
frame=  480 fps= 15 q=-1.0 size=    5189kB time=00:00:31.78 bitrate=1337.7kbits/s speed=0.999x    
frame=  487 fps= 15 q=-1.0 size=    5320kB time=00:00:32.27 bitrate=1350.3kbits/s speed=0.998x    
frame=  495 fps= 15 q=-1.0 size=    5392kB time=00:00:32.78 bitrate=1347.2kbits/s speed=0.998x    
frame=  503 fps= 15 q=-1.0 size=    5482kB time=00:00:33.31 bitrate=1348.1kbits/s speed=0.999x    
frame=  510 fps= 15 q=-1.0 size=    5539kB time=00:00:33.78 bitrate=1343.0kbits/s speed=0.998x    
frame=  517 fps= 15 q=-1.0 size=    5688kB time=00:00:34.29 bitrate=1358.7kbits/s speed=0.999x    
frame=  525 fps= 15 q=-1.0 size=    5763kB time=00:00:34.80 bitrate=1356.5kbits/s speed=0.999x    
frame=  533 fps= 15 q=-1.0 size=    5834kB time=00:00:35.31 bitrate=1353.2kbits/s speed=0.999x    
frame=  540 fps= 15 q=-1.0 size=    5901kB time=00:00:35.82 bitrate=1349.2kbits/s speed=0.999x    
frame=  548 fps= 15 q=-1.0 size=    6029kB time=00:00:36.33 bitrate=1359.1kbits/s speed=0.999x    
frame=  556 fps= 15 q=-1.0 size=    6112kB time=00:00:36.84 bitrate=1358.8kbits/s speed=0.999x    
frame=  563 fps= 15 q=-1.0 size=    6194kB time=00:00:37.31 bitrate=1359.8kbits/s speed=0.998x    
frame=  571 fps= 15 q=-1.0 size=    6262kB time=00:00:37.84 bitrate=1355.3kbits/s speed=0.999x    
frame=  578 fps= 15 q=-1.0 size=    6384kB time=00:00:38.33 bitrate=1364.3kbits/s speed=0.999x    
frame=  586 fps= 15 q=-1.0 size=    6434kB time=00:00:38.84 bitrate=1356.8kbits/s speed=0.999x    
frame=  594 fps= 15 q=-1.0 size=    6507kB time=00:00:39.38 bitrate=1353.6kbits/s speed=   1x    
frame=  601 fps= 15 q=-1.0 size=    6569kB time=00:00:39.86 bitrate=1349.8kbits/s speed=0.999x    
frame=  608 fps= 15 q=-1.0 size=    6700kB time=00:00:40.35 bitrate=1360.1kbits/s speed=0.999x    
frame=  616 fps= 15 q=-1.0 size=    6762kB time=00:00:40.86 bitrate=1355.5kbits/s speed=0.999x    
frame=  624 fps= 15 q=-1.0 size=    6831kB time=00:00:41.38 bitrate=1352.3kbits/s speed=0.999x    
frame=  631 fps= 15 q=-1.0 size=    6957kB time=00:00:41.88 bitrate=1360.5kbits/s speed=0.999x    
frame=  639 fps= 15 q=-1.0 size=    7020kB time=00:00:42.39 bitrate=1356.3kbits/s speed=0.999x    
frame=  647 fps= 15 q=-1.0 size=    7082kB time=00:00:42.91 bitrate=1351.9kbits/s speed=   1x    
frame=  654 fps= 15 q=-1.0 size=    7155kB time=00:00:43.38 bitrate=1351.2kbits/s speed=0.999x    
frame=  661 fps= 15 q=-1.0 size=    7281kB time=00:00:43.88 bitrate=1359.2kbits/s speed=0.999x    
frame=  669 fps= 15 q=-1.0 size=    7342kB time=00:00:44.39 bitrate=1354.7kbits/s speed=0.999x    
frame=  677 fps= 15 q=-1.0 size=    7397kB time=00:00:44.91 bitrate=1349.1kbits/s speed=0.999x    
frame=  684 fps= 15 q=-1.0 size=    7471kB time=00:00:45.41 bitrate=1347.5kbits/s speed=0.999x    
frame=  692 fps= 15 q=-1.0 size=    7612kB time=00:00:45.91 bitrate=1358.2kbits/s speed=0.999x    
frame=  699 fps= 15 q=-1.0 size=    7697kB time=00:00:46.41 bitrate=1358.5kbits/s speed=0.999x    
frame=  707 fps= 15 q=-1.0 size=    7778kB time=00:00:46.92 bitrate=1357.7kbits/s speed=0.999x    
frame=  715 fps= 15 q=-1.0 size=    7867kB time=00:00:47.44 bitrate=1358.3kbits/s speed=   1x    
frame=  722 fps= 15 q=-1.0 size=    8016kB time=00:00:47.94 bitrate=1369.6kbits/s speed=   1x    
frame=  729 fps= 15 q=-1.0 size=    8092kB time=00:00:48.41 bitrate=1369.2kbits/s speed=0.999x    
frame=  737 fps= 15 q=-1.0 size=    8164kB time=00:00:48.92 bitrate=1367.0kbits/s speed=0.999x    
frame=  745 fps= 15 q=-1.0 size=    8250kB time=00:00:49.44 bitrate=1366.8kbits/s speed=0.999x    
frame=  752 fps= 15 q=-1.0 size=    8371kB time=00:00:49.94 bitrate=1373.0kbits/s speed=0.999x    
frame=  760 fps= 15 q=-1.0 size=    8434kB time=00:00:50.44 bitrate=1369.6kbits/s speed=0.999x    
frame=  767 fps= 15 q=-1.0 size=    8494kB time=00:00:50.92 bitrate=1366.5kbits/s speed=0.999x    
frame=  775 fps= 15 q=-1.0 size=    8561kB time=00:00:51.47 bitrate=1362.4kbits/s speed=0.999x    
frame=  783 fps= 15 q=-1.0 size=    8684kB time=00:00:51.98 bitrate=1368.6kbits/s speed=0.999x    
frame=  790 fps= 15 q=-1.0 size=    8746kB time=00:00:52.45 bitrate=1366.0kbits/s speed=0.999x    
frame=  798 fps= 15 q=-1.0 size=    8831kB time=00:00:52.98 bitrate=1365.5kbits/s speed=0.999x    
frame=  805 fps= 15 q=-1.0 size=    8916kB time=00:00:53.49 bitrate=1365.3kbits/s speed=   1x    
frame=  813 fps= 15 q=-1.0 size=    9054kB time=00:00:54.00 bitrate=1373.3kbits/s speed=   1x    
frame=  820 fps= 15 q=-1.0 size=    9120kB time=00:00:54.47 bitrate=1371.4kbits/s speed=0.999x    
frame=  828 fps= 15 q=-1.0 size=    9168kB time=00:00:54.98 bitrate=1365.9kbits/s speed=0.999x    
frame=  835 fps= 15 q=-1.0 size=    9240kB time=00:00:55.49 bitrate=1364.0kbits/s speed=0.999x    
frame=  843 fps= 15 q=-1.0 size=    9389kB time=00:00:56.00 bitrate=1373.3kbits/s speed=0.999x    
frame=  851 fps= 15 q=-1.0 size=    9439kB time=00:00:56.51 bitrate=1368.1kbits/s speed=0.999x    
frame=  859 fps= 15 q=-1.0 size=    9478kB time=00:00:57.04 bitrate=1361.1kbits/s speed=   1x    
frame=  866 fps= 15 q=-1.0 size=    9558kB time=00:00:57.53 bitrate=1360.8kbits/s speed=0.999x    
frame=  874 fps= 15 q=-1.0 size=    9672kB time=00:00:58.05 bitrate=1364.9kbits/s speed=0.999x    
frame=  882 fps= 15 q=-1.0 size=    9733kB time=00:00:58.58 bitrate=1361.2kbits/s speed=0.999x    
frame=  889 fps= 15 q=-1.0 size=    9809kB time=00:00:59.07 bitrate=1360.3kbits/s speed=0.999x    
frame=  897 fps= 15 q=-1.0 size=    9890kB time=00:00:59.58 bitrate=1359.8kbits/s speed=0.999x    
frame=  904 fps= 15 q=-1.0 size=   10022kB time=00:01:00.07 bitrate=1366.7kbits/s speed=0.999x    
frame=  912 fps= 15 q=-1.0 size=   10073kB time=00:01:00.58 bitrate=1362.1kbits/s speed=0.999x    
frame=  919 fps= 15 q=-1.0 size=   10146kB time=00:01:01.09 bitrate=1360.6kbits/s speed=0.999x    
frame=  927 fps= 15 q=-1.0 size=   10230kB time=00:01:01.60 bitrate=1360.4kbits/s speed=0.999x    
frame=  935 fps= 15 q=-1.0 size=   10372kB time=00:01:02.11 bitrate=1367.9kbits/s speed=0.999x    
frame=  942 fps= 15 q=-1.0 size=   10469kB time=00:01:02.62 bitrate=1369.5kbits/s speed=   1x    
frame=  950 fps= 15 q=-1.0 size=   10550kB time=00:01:03.13 bitrate=1369.0kbits/s speed=   1x    
frame=  958 fps= 15 q=-1.0 size=   10603kB time=00:01:03.64 bitrate=1364.7kbits/s speed=   1x    
frame=  965 fps= 15 q=-1.0 size=   10753kB time=00:01:04.15 bitrate=1373.1kbits/s speed=   1x    
frame=  972 fps= 15 q=-1.0 size=   10814kB time=00:01:04.62 bitrate=1370.9kbits/s speed=0.999x    
frame=  980 fps= 15 q=-1.0 size=   10870kB time=00:01:05.13 bitrate=1367.2kbits/s speed=0.999x    
frame=  988 fps= 15 q=-1.0 size=   10930kB time=00:01:05.64 bitrate=1364.0kbits/s speed=0.999x    
frame=  996 fps= 15 q=-1.0 size=   11058kB time=00:01:06.18 bitrate=1368.8kbits/s speed=   1x    
frame= 1003 fps= 15 q=-1.0 size=   11131kB time=00:01:06.66 bitrate=1367.8kbits/s speed=   1x    
frame= 1011 fps= 15 q=-1.0 size=   11195kB time=00:01:07.18 bitrate=1365.1kbits/s speed=   1x    
frame= 1019 fps= 15 q=-1.0 size=   11274kB time=00:01:07.71 bitrate=1364.0kbits/s speed=   1x    
frame= 1026 fps= 15 q=-1.0 size=   11412kB time=00:01:08.19 bitrate=1370.9kbits/s speed=   1x    
frame= 1033 fps= 15 q=-1.0 size=   11482kB time=00:01:08.68 bitrate=1369.4kbits/s speed=0.999x    
frame= 1041 fps= 15 q=-1.0 size=   11559kB time=00:01:09.19 bitrate=1368.4kbits/s speed=0.999x    
frame= 1049 fps= 15 q=-1.0 size=   11624kB time=00:01:09.71 bitrate=1366.0kbits/s speed=0.999x    
frame= 1056 fps= 15 q=-1.0 size=   11760kB time=00:01:10.21 bitrate=1372.0kbits/s speed=0.999x    
frame= 1064 fps= 15 q=-1.0 size=   11804kB time=00:01:10.72 bitrate=1367.2kbits/s speed=   1x    
frame= 1072 fps= 15 q=-1.0 size=   11871kB time=00:01:11.24 bitrate=1365.0kbits/s speed=   1x    
frame= 1079 fps= 15 q=-1.0 size=   11954kB time=00:01:11.71 bitrate=1365.5kbits/s speed=0.999x    
frame= 1086 fps= 15 q=-1.0 size=   12107kB time=00:01:12.21 bitrate=1373.4kbits/s speed=0.999x    
frame= 1094 fps= 15 q=-1.0 size=   12175kB time=00:01:12.72 bitrate=1371.5kbits/s speed=0.999x    
frame= 1102 fps= 15 q=-1.0 size=   12244kB time=00:01:13.24 bitrate=1369.4kbits/s speed=0.999x    
frame= 1109 fps= 15 q=-1.0 size=   12320kB time=00:01:13.74 bitrate=1368.6kbits/s speed=0.999x    
frame= 1117 fps= 15 q=-1.0 size=   12450kB time=00:01:14.25 bitrate=1373.5kbits/s speed=0.999x    
frame= 1125 fps= 15 q=-1.0 size=   12505kB time=00:01:14.78 bitrate=1369.9kbits/s speed=   1x    
frame= 1132 fps= 15 q=-1.0 size=   12547kB time=00:01:15.25 bitrate=1365.8kbits/s speed=0.999x    
frame= 1140 fps= 15 q=-1.0 size=   12627kB time=00:01:15.78 bitrate=1365.0kbits/s speed=   1x    
frame= 1147 fps= 15 q=-1.0 size=   12771kB time=00:01:16.27 bitrate=1371.6kbits/s speed=0.999x    
frame= 1155 fps= 15 q=-1.0 size=   12834kB time=00:01:16.78 bitrate=1369.2kbits/s speed=0.999x    
frame= 1163 fps= 15 q=-1.0 size=   12923kB time=00:01:17.31 bitrate=1369.3kbits/s speed=   1x    
